num_ready,avg_remaining,max_remaining,avg_waiting,cpu_util,optimal_quantum
3,4.666666666666667,8,0,0,4
7,5.142857142857143,8,0,0,8
5,5.8,10,0,0,1
10,5.4,10,0,0,9
4,4.0,6,0,0,6
4,4.25,8,0,0,4
4,4.75,8,0,0,5
6,7.333333333333333,10,0,0,10
7,4.571428571428571,10,0,0,5
8,4.75,10,0,0,2
7,4.142857142857143,9,0,0,3
3,6.666666666666667,9,0,0,9
3,7.333333333333333,9,0,0,9
9,4.111111111111111,10,0,0,1
7,3.7142857142857144,10,0,0,1
3,8.0,10,0,0,10
7,5.428571428571429,10,0,0,8
5,6.4,10,0,0,10
3,7.333333333333333,10,0,0,10
7,5.0,8,0,0,8
7,5.428571428571429,10,0,0,10
8,6.125,9,0,0,9
9,4.0,10,0,0,2
6,4.333333333333333,9,0,0,1
6,5.333333333333333,10,0,0,10
10,4.7,10,0,0,9
9,6.0,10,0,0,10
8,5.5,10,0,0,10
9,5.0,10,0,0,10
10,4.4,9,0,0,7
5,5.8,8,0,0,8
10,4.1,10,0,0,10
4,5.25,7,0,0,7
5,5.4,9,0,0,1
5,5.6,9,0,0,9
4,4.0,8,0,0,4
10,5.6,10,0,0,10
10,4.6,10,0,0,10
5,6.8,9,0,0,9
8,5.875,10,0,0,10
9,7.222222222222222,10,0,0,10
6,5.5,10,0,0,1
5,5.0,7,0,0,7
5,3.8,7,0,0,1
4,6.5,10,0,0,10
7,5.571428571428571,10,0,0,1
4,3.25,5,0,0,5
10,5.1,8,0,0,8
9,5.777777777777778,9,0,0,9
8,5.875,10,0,0,10
4,4.5,6,0,0,6
6,6.166666666666667,8,0,0,8
4,5.0,8,0,0,1
3,6.666666666666667,10,0,0,10
7,7.142857142857143,9,0,0,9
7,5.571428571428571,8,0,0,8
4,4.5,10,0,0,5
9,4.444444444444445,8,0,0,8
9,7.333333333333333,10,0,0,10
8,6.125,10,0,0,10
10,6.1,10,0,0,10
7,4.142857142857143,9,0,0,1
9,5.777777777777778,10,0,0,10
3,6.666666666666667,9,0,0,9
6,5.0,10,0,0,6
10,3.9,9,0,0,7
6,7.0,10,0,0,10
8,5.375,10,0,0,10
7,7.0,10,0,0,10
9,3.111111111111111,4,0,0,4
7,4.714285714285714,9,0,0,9
4,7.0,10,0,0,9
3,7.666666666666667,10,0,0,10
10,7.3,10,0,0,10
5,5.6,10,0,0,10
4,7.0,9,0,0,9
6,6.333333333333333,9,0,0,9
4,7.25,9,0,0,9
6,4.666666666666667,9,0,0,9
8,5.0,8,0,0,8
7,7.428571428571429,10,0,0,10
10,6.4,10,0,0,10
10,4.8,8,0,0,8
5,4.0,8,0,0,1
9,2.5555555555555554,4,0,0,4
4,3.75,6,0,0,1
6,5.333333333333333,9,0,0,9
8,5.625,8,0,0,8
5,7.0,10,0,0,10
5,4.4,8,0,0,7
